CN:440 03/10/2022 17:13:48 Q:-1 ID:B000377-FT Fixture:
CN:440 03/10/2022 18:00:54 Q:-1 ID:B000350-FT Fixture:
CN:440 03/10/2022 22:39:47 Q:-1 ID:B000656-FT Fixture:
CN:440 04/10/2022 00:48:59 Q:-1 ID:B000150-FT Fixture:
CN:440 04/10/2022 06:13:39 Q:-1 ID:B000320-FT Fixture:
CN:440 04/10/2022 08:52:17 Q:-1 ID:B000125-FT Fixture:
CN:440 04/10/2022 09:20:29 Q:-1 ID:B000320-FT Fixture:
CN:440 04/10/2022 09:36:43 Q:1 ID: Fixture: IN
CN:440 04/10/2022 12:15:43 Q:-1 ID:B000451-FT Fixture:
CN:440 04/10/2022 17:26:15 Q:-1 ID:B000465-FT Fixture:
CN:440 04/10/2022 17:26:17 Q:-1 ID:B000414-FT Fixture:
CN:440 04/10/2022 17:26:19 Q:-1 ID:B000414-FT Fixture:
CN:440 04/10/2022 23:20:27 Q:-1 ID:B000414-FT Fixture:
CN:440 04/10/2022 23:47:47 Q:-1 ID:B000150-FT Fixture:
CN:440 05/10/2022 00:36:09 Q:-1 ID: Fixture: OUT
CN:440 05/10/2022 01:02:45 Q:-1 ID:B000414-FT Fixture:
CN:440 05/10/2022 06:50:20 Q:-1 ID:B000488-FT Fixture:
CN:440 05/10/2022 08:08:01 Q:-1 ID: Fixture: OUT QTD:88
CN:440 05/10/2022 09:45:09 Q:-1 ID:B000320-FT Fixture:
CN:440 05/10/2022 10:26:27 Q:-1 ID:B000320-FT Fixture:
CN:440 05/10/2022 13:19:45 Q:-1 ID:B000597-FT Fixture:
CN:440 05/10/2022 15:27:43 Q:-1 ID: Fixture: OUT QTD:84
CN:440 05/10/2022 18:49:28 Q:-1 ID:B000253-FT Fixture:
CN:440 06/10/2022 00:55:59 Q:-1 ID:B000150-FT Fixture:
CN:440 06/10/2022 01:53:40 Q:-1 ID:B000356-FT Fixture:
CN:440 06/10/2022 01:53:42 Q:-1 ID:B000356-FT Fixture:
